ID,Country,Fabric,Collection,Артикул,Tile_name,Hight,Widght,Thickness,Measurement,Surface,Structure,Rettification,Material,Tonal_Variety,Usage_of,Type_Tile,Color1,Color2,Color3,Theme1,Theme2,Theme3,Theme4
555942,Италия,Sartoria,Tsquare,TTTSW01G,First Snow,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,белый,none,none,штукатурка,окраска,none,none
555943,Италия,Sartoria,Tsquare,TTTSW02G,Half Moon,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,серый,none,none,штукатурка,окраска,none,none
555944,Италия,Sartoria,Tsquare,TTTSW03G,Pure Linen,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,бежевый,none,none,штукатурка,окраска,none,none
555945,Италия,Sartoria,Tsquare,TTTSW04G,Pink Powder,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,розовый,коричневый,none,штукатурка,окраска,none,none
555946,Италия,Sartoria,Tsquare,TTTSW05G,Cozy Nest,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,серый,none,none,штукатурка,окраска,none,none
555947,Италия,Sartoria,Tsquare,TTTSW06G,Mint Tea,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,зеленый,none,none,штукатурка,окраска,none,none
555948,Италия,Sartoria,Tsquare,TTTSW07G,Fresh Thyme,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,серый,зеленый,none,штукатурка,окраска,none,none
555949,Италия,Sartoria,Tsquare,TTTSW08G,Royal Blue,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,синий,none,none,штукатурка,окраска,none,none
555950,Италия,Sartoria,Tsquare,TTTSW09G,Rainy Day,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,серый,none,none,штукатурка,окраска,none,none
555951,Италия,Sartoria,Tsquare,TTTSW10G,Starry Night,15,15,10,м²,глянец,0,0,керамика,3,стены,фон,черный,none,none,штукатурка,окраска,none,none
555952,Италия,Sartoria,Tsquare,TTTSW01P,Pencil First Snow,1.5,29.9,10,шт,глянец,0,0,керамика,3,стены,спецэлемент,белый,none,none,штукатурка,окраска,none,none
555953,Италия,Sartoria,Tsquare,TTTSW02P,Pencil Half Moon,1.5,29.9,10,шт,глянец,0,0,керамика,3,стены,спецэлемент,серый,none,none,штукатурка,окраска,none,none
555954,Италия,Sartoria,Tsquare,TTTSW03P,Pencil Pure Linen,1.5,29.9,10,шт,глянец,0,0,керамика,3,стены,спецэлемент,бежевый,none,none,штукатурка,окраска,none,none
555955,Италия,Sartoria,Tsquare,TTTSW04P,Pencil Pink Powder,1.5,29.9,10,шт,глянец,0,0,керамика,3,стены,спецэлемент,розовый,коричневый,none,штукатурка,окраска,none,none
555956,Италия,Sartoria,Tsquare,TTTSW05P,Pencil Cozy Nest,1.5,29.9,10,шт,глянец,0,0,керамика,3,стены,спецэлемент,серый,none,none,штукатурка,окраска,none,none
555957,Италия,Sartoria,Tsquare,TTTSW06P,Pencil Mint Tea,1.5,29.9,10,шт,глянец,0,0,керамика,3,стены,спецэлемент,зеленый,none,none,штукатурка,окраска,none,none
